idx,2000020,2000021,2000023,2000025,2000027,2000026,2000036,2000037,2000038,2000039,2000040,2000051,2000052,2000054,2000072,2000075,2000211,2000273,2000274,2000504,2000672,2000732,2000794,2000797,2001187,4100006,4100007,4100012,4100105,4100106,4100107,4100109,4100642,4100643,4100646,4100647,4100649,4100653,4100658,4100671,4100684,4100689,4100697,4100713,4100723,4100759,4100760,4100764,4100766,4100768,4100769,4100775,4100779,4100782,4100793,4100794,4100799,4100810,4100811,4100812,4100813,4100830,4100833,4101000,4101005,4101248,4101253,4101345,4101346,4101347,4101374,4101441,4101764,4101774,4101920
PNM170,,,,,,32.5,,10.0,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,42.89,,,,,,,,,,,,,,,0.01,,0.6,,4.0,,,,,,,,,,,
PNM115,,,,,,,62.0,,,,,,,,,,,,,,,,,,10.0,27.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,
PNM2,,,,,,9.39,,12.5,,,,,,,,,,,,12.5,,,,,,37.0,,,,,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,0.6,,,,,,,,,,,,,
PNM95,,,,,,12.0,,25.5,,,,,,,,,,,,,,,,,,,,,,,23.0,,,,,,,,,,,,,,38.99,,,,,,,,,,,,,,,0.01,,0.5,,,,,,,,,,,,,
PNM168,,,60.49,,,,,,,,10.0,,,,,,,,,,,,,,,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,0.5,,,,,,,,,,,,,
PNM15,,,60.0,,,,,,,,5.0,,,,,,,,,,,,,,,34.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,0.35,,,,,,,,,,,,,
PNM162,,,,,,44.0,,17.49,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,0.5,,,,,,,,,,37.0,,,
PNM179,,,,,,14.5,,26.0,,,,,,,,,,,,,,,,,,44.98,,,,,14.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,
PNM184,,22.0,,,,,,,,,,,,,,,,,,28.0,,,,,,27.48,,,,,22.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PNM76,,,,,,35.0,,30.5,,,,,,,,,,,,,,,,,,34.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,0.4,,,,,,,,,,,,,
