codigo sampler,Matriz,SubMatriz,granulometría - micrometro,grasa - nmr,humedad - determinador halogeno,limite de fluidez  anton paar,viscosidad plastica  anton paar,"('acidez', '135')","('acidez', '154')","('acidez', '155')","('acidez', '160')","('acidez', '179')","('amargor', '135')","('amargor', '154')","('amargor', '155')","('amargor', '160')","('amargor', '179')","('aroma', '135')","('aroma', '154')","('aroma', '155')","('aroma', '160')","('aroma', '179')","('astringencia', '135')","('astringencia', '154')","('astringencia', '155')","('astringencia', '160')","('astringencia', '179')","('dulce', '135')","('dulce', '154')","('dulce', '155')","('dulce', '160')","('dulce', '179')","('velocidad fusion', '135')","('velocidad fusion', '154')","('velocidad fusion', '155')","('velocidad fusion', '160')","('velocidad fusion', '179')",Relev aroma-135,Relev aroma-154,Relev aroma-155,Relev aroma-160,Relev aroma-179,Relev dulce-135,Relev dulce-154,Relev dulce-155,Relev dulce-160,Relev dulce-179,Relev amargor-135,Relev amargor-154,Relev amargor-155,Relev amargor-160,Relev amargor-179,Relev acidez-135,Relev acidez-154,Relev acidez-155,Relev acidez-160,Relev acidez-179,Relev astringencia-135,Relev astringencia-154,Relev astringencia-155,Relev astringencia-160,Relev astringencia-179,Relev velocidad fusion-135,Relev velocidad fusion-154,Relev velocidad fusion-155,Relev velocidad fusion-160,Relev velocidad fusion-179
D01241469,Chocolate,Chocolate Oscuro / Dark Chocolate,20.0,34.3672,0.28,16.697,1.2241,,,,,1.0,,,,,4.0,,,,,6.0,,,,,3.0,,,,,4.0,,,,,4.0,0.19589909148175155,0.19589909148175155,0.19589909148175155,0.19589909148175155,0.21640363407299373,0.1963789508319542,0.1963789508319542,0.1963789508319542,0.1963789508319542,0.21448419667218324,0.19560873744593807,0.19560873744593807,0.19560873744593807,0.19560873744593807,0.21756505021624772,0.19210387668031637,0.19210387668031637,0.19210387668031637,0.19210387668031637,0.23158449327873448,0.1942159116433645,0.1942159116433645,0.1942159116433645,0.1942159116433645,0.22313635342654198,0.19496713122951956,0.19496713122951956,0.19496713122951956,0.19496713122951956,0.2201314750819218
D01241470,Chocolate,Chocolate Oscuro / Dark Chocolate,20.0,41.8192,0.25,7.0801,0.7132,,,1.0,,2.0,,,5.0,,3.0,,,4.0,,6.0,,,2.0,,4.0,,,4.0,,2.0,,,5.0,,4.0,0.19737532090594226,0.19737532090594226,0.20569941978027384,0.19737532090594226,0.2021746175018994,0.19594600770290793,0.19594600770290793,0.21290287994202,0.19594600770290793,0.19925909694925611,0.1970456799930042,0.1970456799930042,0.20808455844458437,0.1970456799930042,0.20077840157640306,0.19628060181564885,0.19628060181564885,0.2053998149858628,0.19628060181564885,0.2057583795671908,0.19597217055779437,0.19597217055779437,0.21070039120539524,0.19597217055779437,0.20138309712122168,0.19413863997932201,0.19413863997932201,0.21480115700027355,0.19413863997932201,0.2027829230617605
D01242630,Chocolate,Chocolate Oscuro / Dark Chocolate,41.0,33.6,0.1,4.5402,1.604,0.0,,2.0,3.0,,2.0,,4.5,4.0,,5.0,,5.25,5.0,,1.0,,2.5,2.0,,6.0,,5.75,5.0,,5.0,,5.0,0.0,,0.1622485222653283,0.1609180864506875,0.16186645521690224,0.3540488496163945,0.1609180864506875,0.1501645063687831,0.1501626600416931,0.1559941668967005,0.3935160066511302,0.1501626600416931,0.1497210203632896,0.1410227665572907,0.14194856671276485,0.4262848798093641,0.1410227665572907,0.16106222500033118,0.1571905539156754,0.1574582654824377,0.36709840168588037,0.1571905539156754,0.13569811506349588,0.12927572203552062,0.1310865889883103,0.4746638518771525,0.12927572203552062,0.15522303981064645,0.15384114554213654,0.15722813142096176,0.37986653768411877,0.15384114554213654
D01242631,Chocolate,Chocolate Oscuro / Dark Chocolate,28.0,34.6575,0.04,4.2541,1.0812,3.0,,1.0,0.0,,2.0,,6.333333333333333,3.0,,5.0,,5.0,5.0,,1.0,,3.3333333333333335,3.0,,6.5,,4.0,5.0,,5.0,,5.0,0.0,,0.16844183204754165,0.14632014455406497,0.19634993914892487,0.34256793969540345,0.14632014455406497,0.15895800330777085,0.14076766589992515,0.2216647378013155,0.33784192709106337,0.14076766589992515,0.17119418985978616,0.1275863393660859,0.18745703512813586,0.3861760962799061,0.1275863393660859,0.1591138142782238,0.12837185965856512,0.2077003851283726,0.3764420812762733,0.12837185965856512,0.14431027225353146,0.11091246586697642,0.1854923703021822,0.44837242571033337,0.11091246586697642,0.16417089474244817,0.13921803576850192,0.2278486497226652,0.3295443839978829,0.13921803576850192
D02220226,Chocolate,Chocolate Oscuro / Dark Chocolate,33.0,25.1857,0.12,96.413,14.393,3.5,0.0,1.0,1.0,2.0,5.5,3.0,4.0,2.0,3.0,6.0,6.0,4.0,3.0,3.0,0.0,0.0,1.0,1.0,2.0,6.5,5.0,6.0,3.5,3.0,6.5,5.0,5.0,6.0,4.0,0.18783544392240653,0.2164026801763046,0.18957610595828706,0.22043317824722355,0.18575259169577835,0.20015383063730474,0.2189100859241982,0.18252733695440201,0.21596146823332205,0.1824472782507731,0.17821826240186953,0.23441083090553647,0.19142076311906284,0.2191387330735333,0.17681141049999788,0.17530057671959365,0.20909032800617033,0.18683534918857161,0.25534032688296365,0.17343341920270064,0.16301581788715352,0.2191172269412484,0.19027720651278843,0.2637028149340568,0.16388693372475283,0.175864234094091,0.2876928982152199,0.17368466441167674,0.18914011948561577,0.17361808379339644
D02220227,Chocolate,Chocolate Oscuro / Dark Chocolate,23.0,32.7199,0.15,187.4123,0.9259,3.5,0.0,1.0,1.0,,4.0,1.0,5.0,1.0,,6.0,6.0,4.0,3.0,,0.0,0.0,1.0,1.0,,6.5,5.0,5.0,3.5,,6.5,5.0,5.0,6.0,,0.19049659698764132,0.2114321908892863,0.19532538563233365,0.2132475824043927,0.18949824408634608,0.2034920168272487,0.2098404474267941,0.18807736764235766,0.21134167517230112,0.18724849293129842,0.1887896788718435,0.21569354452806694,0.20702854792343542,0.20616672270962066,0.18232150596703345,0.17698243860998716,0.19573481125815048,0.1974726238779272,0.2530483159942014,0.17676181025973384,0.16936110532299803,0.19830335325536863,0.21640714825808194,0.2508320326884207,0.16509636047513068,0.1881795384475951,0.24400593399502193,0.188632471315292,0.1919020120395092,0.18728004420258165
D02220443,Chocolate,Chocolate con Leche / Milk chocolate,21.0,35.8768,0.14,12.6601,1.6552,0.5,0.0,1.0,0.0,1.0,2.5,3.5,5.0,5.0,6.0,6.25,6.0,5.0,4.0,4.0,0.0,0.0,2.0,1.0,2.0,6.5,5.5,5.0,6.0,5.0,3.0,5.0,6.0,6.0,4.0,0.1936139061270159,0.17362862328173198,0.239934168380596,0.17308857491412383,0.21973472729653235,0.19996880136807718,0.1738545957578843,0.23336566133344266,0.17298351292589684,0.21982742861469887,0.1893102423496605,0.1684812586774717,0.24753228391165688,0.1724679874071059,0.22220822765410497,0.19090022525823397,0.16950317947412658,0.24705342473508712,0.17163643534106293,0.22090673519148935,0.17866420051089563,0.15972205668387018,0.26746775215693874,0.16178345220869628,0.2323625384395992,0.1976438103554251,0.17367819076409613,0.23054814059967402,0.17784298060028497,0.22028687768051974
D02221023,Chocolate,Chocolate Oscuro / Dark Chocolate,24.0,27.6247,0.15,42.789,4.1941,2.0,0.0,1.0,1.0,,5.0,5.0,5.0,4.0,,6.0,6.5,5.0,6.0,,0.0,3.5,3.0,2.0,,6.0,3.5,5.0,2.5,,5.5,5.0,5.0,6.0,,0.18467185711431275,0.24278310901524558,0.20454861740203967,0.18771861407184562,0.18027780239655647,0.18144388721665172,0.24456358482565815,0.21116700726974508,0.1849319529926617,0.1778935676952835,0.17617973938059106,0.2616079717122653,0.1955185426341576,0.19179271990383295,0.17490102636915306,0.1785306439035165,0.25726605768364064,0.19527833868567526,0.1927417000053012,0.1761832597218663,0.1731944393785431,0.2651981282664835,0.19609041239009795,0.19363945753245196,0.17187756243242344,0.1740749756671387,0.2804864260123672,0.19243591531559506,0.18071044456219013,0.1722922384427089
D02221079,Chocolate,Chocolate Oscuro / Dark Chocolate,11.0,47.1365,0.15,10.11,0.9108,,,,,2.0,,,,,3.0,,,,,4.0,,,,,3.0,,,,,1.0,,,,,3.0,0.194172818539457,0.194172818539457,0.194172818539457,0.194172818539457,0.2233087258421719,0.1926229668318934,0.1926229668318934,0.1926229668318934,0.1926229668318934,0.2295081326724264,0.190847534153632,0.190847534153632,0.190847534153632,0.190847534153632,0.23660986338547196,0.19275640064687335,0.19275640064687335,0.19275640064687335,0.19275640064687335,0.22897439741250655,0.19094520886211946,0.19094520886211946,0.19094520886211946,0.19094520886211946,0.23621916455152225,0.193451675781146,0.193451675781146,0.193451675781146,0.193451675781146,0.22619329687541612
D02221134,Chocolate,Chocolate Oscuro / Dark Chocolate,20.0,42.8975,0.28,7.3272,0.5063,,0.0,1.0,,2.0,,6.0,7.0,,2.0,,6.0,5.0,,4.0,,4.0,4.0,,2.0,,0.0,3.0,,2.0,,5.0,6.0,,4.0,0.18044145934849748,0.23066276493943852,0.21148842633380238,0.18044145934849748,0.19696589002976422,0.1783523320812861,0.22609496612638916,0.22469714130591306,0.1783523320812861,0.19250322840512565,0.17516702764585929,0.24086414026089573,0.21787981790178515,0.17516702764585929,0.19092198654560052,0.17326201540845987,0.2432982832770065,0.20977466765175964,0.17326201540845987,0.20040301825431409,0.16845978329214178,0.24668672880995854,0.22565251326972874,0.16845978329214178,0.19074119133602901,0.16610800078086463,0.25316778067663365,0.22413335194047843,0.16610800078086463,0.19048286582115867
D02221135,Chocolate,Chocolate Oscuro / Dark Chocolate,24.0,44.3527,0.27,6.0047,0.8583,1.0,0.0,2.0,,2.0,6.0,6.0,7.0,,3.0,6.0,6.5,5.0,,4.0,2.0,4.0,4.0,,2.5,6.0,2.0,3.0,,1.5,6.0,5.0,6.0,,4.0,0.18164818699162158,0.22764688255884483,0.21114952133045944,0.18118509307956954,0.1983703160395046,0.1809419728907236,0.2206633133073429,0.2212238161362602,0.18047262962750427,0.196698268038169,0.17870780115319035,0.23651716088984123,0.2143968272532232,0.17650114114670518,0.1938770695570401,0.17810042602655407,0.234954641083395,0.2119513600199194,0.17584834156627452,0.19914523130385708,0.17321699617436073,0.237410790316982,0.22110140955718685,0.17272244344472837,0.19554836050674207,0.17300250865689587,0.2394218749208442,0.220746518349201,0.16897514887495324,0.1978539491981057
D02221518,Chocolate,Chocolate Oscuro / Dark Chocolate,21.0,46.9367,0.19,6.9822,0.7342,3.0,3.0,,2.0,,4.5,6.0,,4.5,,6.5,7.0,,4.0,,2.0,3.0,,3.0,,6.0,2.0,,1.5,,6.5,5.0,,6.0,,0.22438619815861072,0.2068437570858244,0.18905912763418417,0.19065178948719666,0.18905912763418417,0.2291390547936007,0.20435994832112817,0.1881548704449059,0.19019125599545944,0.1881548704449059,0.2247151589806036,0.21747981596259736,0.18458986250980436,0.18862530003719033,0.18458986250980436,0.22836734337956302,0.21007279927879233,0.18612808725218935,0.1893036828372658,0.18612808725218935,0.23981969129556935,0.2098526754851743,0.18164379063599131,0.1870400519472738,0.18164379063599131,0.22410418026614903,0.22056445218147963,0.1842520677920054,0.18682723196836043,0.1842520677920054
D02221519,Chocolate,Chocolate Oscuro / Dark Chocolate,22.0,42.6281,0.16,10.198,1.2939,3.5,2.0,,3.0,,5.0,5.0,,3.0,,6.0,6.0,,4.0,,2.0,3.0,,2.0,,6.5,2.0,,2.5,,6.5,5.0,,7.0,,0.23353579395994553,0.19285871008718544,0.19105664197824762,0.19149221199637384,0.19105664197824762,0.2412143376646629,0.19046922942710473,0.18923707959261057,0.1898422737230113,0.18923707959261057,0.23398857929453915,0.19532167232545458,0.19000555814767134,0.19067863208466362,0.19000555814767134,0.23912481309762404,0.19170165915181137,0.1895743615090861,0.1900248047323924,0.1895743615090861,0.24260364283646116,0.19154814381568055,0.18856084431296172,0.1887265247219349,0.18856084431296172,0.23581999822683655,0.19518620458817115,0.1891965201964347,0.1906007567921229,0.1891965201964347
D02221810,Chocolate,Chocolate Oscuro / Dark Chocolate,22.0,42.6706,0.21,23.311,0.7549,1.0,1.0,2.0,1.5,3.0,5.0,7.5,7.0,4.0,7.0,6.0,6.5,5.0,4.0,5.0,4.0,4.0,4.0,3.0,3.0,4.0,2.5,3.0,3.0,3.0,6.0,5.0,6.0,7.0,5.0,0.19978159475334328,0.20341808173195097,0.19549254897168003,0.20588616510037888,0.19542160944264694,0.20246279172062587,0.20162791094929988,0.1938943867143876,0.20724066834677263,0.19477424226891413,0.1961370718319355,0.20963511431973963,0.19321479686701978,0.20740807500800246,0.19360494197330272,0.1976003696328401,0.20620942911728488,0.19390461376691828,0.20929584836859177,0.19298973911436498,0.19770506814404143,0.20650367316658466,0.19176071962266378,0.21187844810880704,0.1921520909579031,0.197180554520072,0.21188440420626753,0.19275302900488236,0.20540448265926392,0.1927775296095143
D02221811,Chocolate,Chocolate Oscuro / Dark Chocolate,13.0,42.131,0.13,18.774,0.8845,1.0,0.0,2.0,1.5,2.0,6.0,6.5,7.0,4.0,4.0,6.0,6.5,5.0,5.0,4.0,0.0,4.0,4.0,3.0,3.0,6.0,2.0,3.0,3.0,2.0,6.0,5.0,6.0,7.0,5.0,0.2103077896770952,0.1730678927815886,0.21957157346125572,0.17371530269023075,0.22333744138982986,0.21223487332569968,0.17129163681894838,0.21675218373218755,0.17155888613638157,0.22816241998678274,0.22608254592836874,0.16360407894158252,0.21607261419361995,0.1642344457481242,0.2300063151883045,0.21479644559377356,0.16558149399259817,0.22240291578517407,0.1716530608987545,0.22556608372969972,0.222424384130095,0.15865123133210438,0.2211679560511608,0.16171897505557528,0.23603745343106436,0.2254540410424978,0.166067459024736,0.2231475076090214,0.16567439280761123,0.2196565995161335
D02221871,Chocolate,Chocolate Oscuro / Dark Chocolate,21.0,43.2324,0.26,5.5985,0.5884,2.0,2.0,,,2.0,6.0,6.0,,,3.0,6.0,6.0,,,4.0,2.0,4.0,,,3.0,6.0,3.0,,,2.0,6.0,5.0,,,5.0,0.1886603518056801,0.2362695191846482,0.18864800628699477,0.18864800628699477,0.19777411643568218,0.18981798140416406,0.2334680496464842,0.1897463113363846,0.1897463113363846,0.1972213462765825,0.1855996836024882,0.2510205017068338,0.18512307958191018,0.18512307958191018,0.19313365552685763,0.18451441751934752,0.24835540808422407,0.18411096009678862,0.18411096009678862,0.19890825420285108,0.18292728696528682,0.256950794654211,0.18291752325352995,0.18291752325352995,0.19428687187344215,0.18125177924585367,0.2628896007372009,0.1801319415705252,0.1801319415705252,0.19559473687589504
D02222212,Chocolate,Chocolate blanco / White chocolate,25.0,36.8009,0.2,1.879,5.7,,0.0,0.0,,0.0,,0.0,0.0,,0.0,,6.0,5.0,,4.0,,0.0,3.0,,2.0,,6.0,6.0,,3.0,,5.0,6.0,,4.0,0.1984668620091294,0.20321891845402448,0.20002417189258037,0.1984668620091294,0.19982318563513632,0.19828164696814063,0.20464691112372893,0.19908398168337355,0.19828164696814063,0.19970581325661627,0.19812483217953952,0.20421064895961336,0.19986932467509275,0.19812483217953952,0.19967036200621477,0.19820021712236802,0.20622558717983344,0.19874901637118464,0.19820021712236802,0.19862496220424586,0.19757358656244456,0.2056749844501649,0.19982569464204958,0.19757358656244456,0.19935214778289637,0.19871098105292884,0.2046354576120888,0.19899026336913764,0.19871098105292884,0.19895231691291582
D02222327,Chocolate,Chocolate Oscuro / Dark Chocolate,25.0,30.7061,0.2,49.67,5.406,2.0,0.0,1.0,0.6666666666666666,,6.0,5.666666666666667,5.0,4.833333333333333,,6.0,6.0,4.5,5.333333333333333,,4.0,3.3333333333333335,2.5,2.6666666666666665,,4.0,2.6666666666666665,4.5,3.0,,5.5,5.0,5.0,4.0,,0.21157095964007197,0.24049069114189453,0.18372859595910937,0.18216569381202383,0.1820440594469005,0.20822156467499348,0.24456780452044116,0.18417833038778472,0.1815269464748213,0.18150535394195938,0.20051099925283744,0.2611964477701207,0.17927162065849156,0.1799597152670358,0.1790612170515146,0.2056352495080503,0.25282929757187456,0.18027998410515064,0.18101187292808635,0.1802435958868382,0.1977670685909168,0.26373954259477433,0.1790337226651322,0.18049284270515265,0.17896682344402398,0.19278197755432064,0.28215306629637366,0.17533886601385848,0.17486395512961556,0.17486213500583184
D02231517,Chocolate,Chocolate Oscuro / Dark Chocolate,29.0,30.4746,0.04,11.41,4.5924,,,,1.0,3.0,,,,4.0,6.0,,,,2.0,5.0,,,,2.0,5.0,,,,5.0,3.5,,,,7.0,4.0,0.149751070112363,0.149751070112363,0.149751070112363,0.3573228887783136,0.1934239008845976,0.1499831446661438,0.1499831446661438,0.1499831446661438,0.36045453593651605,0.18959603006505243,0.1303065632260462,0.1303065632260462,0.1303065632260462,0.4299889297722391,0.1790913805496223,0.13364102418507015,0.13364102418507015,0.13364102418507015,0.409760091980919,0.18931683546387051,0.11198610245569225,0.11198610245569225,0.11198610245569225,0.5011569714696011,0.16288472116332206,0.1467750320523252,0.1467750320523252,0.1467750320523252,0.35285314086675157,0.2068217629762728
D02231519,Chocolate,Chocolate Oscuro / Dark Chocolate,33.0,45.3529,0.09,3.2986,0.9159,,,,2.0,,,,,5.0,,,,,2.0,,,,,4.0,,,,,2.0,,,,,8.0,,0.1689323217857745,0.1689323217857745,0.1689323217857745,0.324270712856902,0.1689323217857745,0.16317637096492388,0.16317637096492388,0.16317637096492388,0.34729451614030454,0.16317637096492388,0.16151694955784482,0.16151694955784482,0.16151694955784482,0.35393220176862084,0.16151694955784482,0.16662472834360306,0.16662472834360306,0.16662472834360306,0.33350108662558775,0.16662472834360306,0.15214700564466244,0.15214700564466244,0.15214700564466244,0.3914119774213503,0.15214700564466244,0.1669010142193452,0.1669010142193452,0.1669010142193452,0.3323959431226192,0.1669010142193452
